id;first_name;last_name;father_name;sexe;mother_first_name;mother_last_name;date_of_birthday;hour_of_bithday;number_register
1;Mélissa;Berger;Auvergne Platinum;FEMININ;coherent auxiliary;Directeur;2021-06-09T22:01:51;2021-06-10T09:25:44;35583
2;Ariste;Schneider;Fish;MASCULIN;b Steel;grid-enabled;2021-06-10T00:24:46;2021-06-10T06:57:28;61478
3;Apolline;Julien;Mouse Wooden XSS;FEMININ;partnerships 24/7;silver whiteboard;2021-06-10T07:49:44;2021-06-09T21:44:43;18950
4;Côme;Lopez;withdrawal b productize;FEMININ;open;Checking Implemented;2021-06-09T23:09:19;2021-06-09T22:58:49;68693
5;Zéphirin;Renaud;local reboot;FEMININ;lavender Account Vaneau;a;2021-06-09T14:22:18;2021-06-09T13:25:54;92312
6;Joanny;Berger;Grocery pixel Directeur;MASCULIN;systemic Towels;B2B Analyste;2021-06-09T21:41:57;2021-06-10T03:46:43;62817
7;Edmée;Brunet;Automotive turquoise;MASCULIN;back;Manager web-enabled;2021-06-10T07:21:34;2021-06-10T08:59:38;6697
8;Elsa;Rey;initiatives Baht c;MASCULIN;Manager;invoice Bike global;2021-06-09T16:31:56;2021-06-10T04:17:19;63864
9;Agnès;Gonzalez;Cheese;MASCULIN;transitional Stagiaire;Practical synthesizing;2021-06-09T16:36:26;2021-06-10T05:48:05;49027
10;Morgane;Pierre;Mandatory solution end-to-end;MASCULIN;Outdoors Plastic Rupee;whiteboard overriding Pants;2021-06-10T11:32:35;2021-06-10T08:09:15;65507
